iter	Passed	Remaining
0	0	210
1	1	190
2	1	180
3	2	175
4	3	189
5	3	192
6	4	189
7	5	190
8	5	186
9	6	183
10	6	180
11	7	177
12	7	175
13	8	173
14	9	175
15	9	176
16	10	176
17	11	174
18	11	172
19	12	171
20	12	170
21	13	168
22	13	167
23	14	165
24	14	164
25	15	164
26	16	165
27	16	164
28	17	163
29	18	162
30	18	161
31	19	160
32	19	159
33	20	158
34	20	157
35	21	156
36	21	155
37	22	156
38	23	156
39	23	155
40	24	154
41	24	153
42	25	152
43	26	151
44	26	150
45	27	149
46	27	149
47	28	148
48	29	148
49	29	148
50	30	147
51	30	147
52	31	146
53	31	145
54	32	144
55	33	143
56	33	143
57	34	142
58	34	142
59	35	142
60	36	141
61	36	141
62	37	140
63	37	139
64	38	139
65	39	138
66	39	137
67	40	136
68	40	136
69	41	135
70	42	135
71	42	135
72	43	134
73	43	133
74	44	132
75	44	132
76	45	131
77	45	130
78	46	130
79	47	129
80	47	128
81	48	128
82	49	128
83	49	127
84	50	127
85	50	126
86	51	125
87	51	125
88	52	124
89	53	123
90	53	122
91	54	122
92	54	122
93	55	121
94	56	120
95	56	120
96	57	119
97	57	119
98	58	118
99	58	117
100	59	117
101	60	116
102	60	116
103	61	116
104	62	115
105	62	114
106	63	113
107	63	113
108	64	112
109	64	111
110	65	111
111	65	110
112	66	110
113	67	109
114	67	109
115	68	108
116	69	107
117	69	107
118	70	106
119	70	106
120	71	105
121	71	104
122	72	104
123	72	103
124	73	103
125	74	102
126	75	102
127	75	101
128	76	101
129	76	100
130	77	99
131	77	99
132	78	98
133	78	97
134	79	97
135	80	96
136	80	96
137	81	95
138	82	95
139	82	94
140	83	93
141	83	93
142	84	92
143	84	91
144	85	91
145	85	90
146	86	89
147	87	89
148	87	88
149	88	88
150	88	87
151	89	86
152	89	86
153	90	85
154	91	85
155	91	84
156	92	83
157	92	83
158	93	83
159	94	82
160	94	82
161	95	81
162	96	80
163	96	80
164	97	79
165	97	78
166	98	78
167	98	77
168	99	77
169	100	76
170	101	76
171	101	75
172	102	75
173	103	74
174	103	74
175	104	73
176	104	72
177	105	72
178	106	71
179	107	71
180	107	70
181	108	70
182	109	69
183	109	69
184	110	68
185	110	67
186	111	67
187	111	66
188	112	66
189	113	65
190	114	65
191	114	64
192	115	64
193	116	63
194	117	63
195	117	62
196	118	61
197	119	61
198	120	60
199	120	60
200	121	59
201	121	59
202	122	58
203	123	57
204	123	57
205	124	56
206	124	56
207	125	55
208	126	55
209	126	54
210	127	53
211	128	53
212	128	52
213	129	51
214	129	51
215	130	50
216	130	50
217	131	49
218	132	48
219	132	48
220	133	47
221	134	47
222	134	46
223	135	45
224	135	45
225	136	44
226	136	44
227	137	43
228	138	42
229	138	42
230	139	41
231	139	41
232	140	40
233	141	39
234	141	39
235	142	38
236	142	37
237	143	37
238	143	36
239	144	36
240	145	35
241	145	34
242	146	34
243	146	33
244	147	33
245	147	32
246	148	31
247	149	31
248	149	30
249	150	30
250	150	29
251	151	28
252	152	28
253	152	27
254	153	27
255	153	26
256	154	25
257	154	25
258	155	24
259	155	23
260	156	23
261	157	22
262	157	22
263	158	21
264	158	20
265	159	20
266	159	19
267	160	19
268	160	18
269	161	17
270	162	17
271	162	16
272	163	16
273	163	15
274	164	14
275	165	14
276	165	13
277	166	13
278	166	12
279	167	11
280	168	11
281	168	10
282	169	10
283	169	9
284	170	8
285	171	8
286	171	7
287	172	7
288	172	6
289	173	5
290	173	5
291	174	4
292	174	4
293	175	3
294	175	2
295	176	2
296	177	1
297	177	1
298	178	0
299	178	0
